RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure,RANK THIS WEEK
T17,31,Abraham Ancer,28,0.484,4.84,10,2010,sg_around_green,NA
T17,T20,Rikuya Hoshino,8,0.484,1.936,4,2010,sg_around_green,NA
19,24,Josh Teater,16,0.477,4.29,9,2010,sg_around_green,NA
20,27,Kramer Hickok,27,0.474,8.529,18,2010,sg_around_green,NA
21,22,Carlos Ortiz,30,0.462,11.091,24,2010,sg_around_green,NA
22,30,Wes Roach,24,0.458,5.958,13,2010,sg_around_green,NA
23,44,Xinjun Zhang,33,0.448,9.858,22,2010,sg_around_green,NA
24,5,Hudson Swafford,13,0.429,2.574,6,2010,sg_around_green,NA
25,15,Ricky Barnes,23,0.428,6.843,16,2010,sg_around_green,NA
26,26,Patrick Reed,14,0.418,2.509,6,2010,sg_around_green,NA
27,28,Graeme McDowell,17,0.414,3.315,8,2010,sg_around_green,NA
28,25,Roger Sloan,21,0.413,5.373,13,2010,sg_around_green,NA
29,76,Grayson Murray,15,0.405,5.264,13,2010,sg_around_green,NA
30,29,Chase Koepka,8,0.402,1.608,4,2010,sg_around_green,NA
31,32,Charles Howell III,33,0.397,5.557,14,2010,sg_around_green,NA
32,55,Byeong Hun An,27,0.396,5.142,13,2010,sg_around_green,NA
33,35,Bryson DeChambeau,10,0.377,3.768,10,2010,sg_around_green,NA
T34,36,Justin Thomas,18,0.376,3.757,10,2010,sg_around_green,NA
T34,37,Wyndham Clark,19,0.376,2.63,7,2010,sg_around_green,NA
36,19,Kevin Kisner,25,0.375,3.752,10,2010,sg_around_green,NA
37,41,Tim Wilkinson,20,0.358,4.654,13,2010,sg_around_green,NA
38,16,Rafael Campos,29,0.357,6.425,18,2010,sg_around_green,NA
39,38,Webb Simpson,12,0.356,3.918,11,2010,sg_around_green,NA
40,39,Luke Donald,8,0.35,1.051,3,2010,sg_around_green,NA
41,40,D.A. Points,8,0.348,1.74,5,2010,sg_around_green,NA
42,43,Brian Stuard,38,0.345,7.933,23,2010,sg_around_green,NA
43,46,Patrick Cantlay,12,0.318,3.818,12,2010,sg_around_green,NA
44,34,Aaron Wise,19,0.317,3.166,10,2010,sg_around_green,NA
45,60,Cameron Tringale,28,0.314,6.604,21,2010,sg_around_green,NA
46,NA,Rickie Fowler,8,0.307,1.844,6,2010,sg_around_green,NA
47,23,J.T. Poston,32,0.298,5.058,17,2010,sg_around_green,NA
48,50,Brice Garnett,25,0.289,5.193,18,2010,sg_around_green,NA
49,51,Si Woo Kim,25,0.279,3.627,13,2010,sg_around_green,NA
50,70,Ryan Armour,27,0.276,4.422,16,2010,sg_around_green,NA
51,52,Lanto Griffin,38,0.274,7.934,29,2010,sg_around_green,NA
52,53,Seamus Power,14,0.271,2.435,9,2010,sg_around_green,NA
53,87,Mackenzie Hughes,21,0.269,4.297,16,2010,sg_around_green,NA
54,63,Rhein Gibson,31,0.259,5.7,22,2010,sg_around_green,NA
55,59,Nate Lashley,24,0.258,4.905,19,2010,sg_around_green,NA
56,47,Nick Watney,22,0.253,4.303,17,2010,sg_around_green,NA
57,45,Fabián Gómez,30,0.248,5.217,21,2010,sg_around_green,NA
T58,56,Roberto Castro,16,0.247,3.208,13,2010,sg_around_green,NA
T58,62,Sam Ryder,32,0.247,5.671,23,2010,sg_around_green,NA
60,57,J.B. Holmes,8,0.244,1.465,6,2010,sg_around_green,NA
61,42,Richy Werenski,13,0.241,2.65,11,2010,sg_around_green,NA
62,49,Bud Cauley,20,0.24,4.322,18,2010,sg_around_green,NA
63,58,Cameron Smith,22,0.239,3.351,14,2010,sg_around_green,NA
64,T68,Peter Malnati,27,0.237,4.733,20,2010,sg_around_green,NA
65,33,Phil Mickelson,17,0.236,1.649,7,2010,sg_around_green,NA
66,61,Alex Cejka,15,0.234,2.335,10,2010,sg_around_green,NA
67,T64,Zack Sucher,17,0.228,2.734,12,2010,sg_around_green,NA
68,101,Austin Cook,23,0.218,3.925,18,2010,sg_around_green,NA
69,78,Sebastián Muñoz,34,0.203,5.874,29,2010,sg_around_green,NA
70,75,John Huh,16,0.202,2.825,14,2010,sg_around_green,NA
71,95,Bronson Burgoon,28,0.201,4.212,21,2010,sg_around_green,NA
72,T68,Talor Gooch,30,0.191,4.387,23,2010,sg_around_green,NA
73,73,Jim Furyk,12,0.19,2.086,11,2010,sg_around_green,NA
74,T66,Daniel Berger,22,0.165,2.633,16,2010,sg_around_green,NA
75,48,Kevin Na,26,0.164,2.622,16,2010,sg_around_green,NA
76,77,Emiliano Grillo,24,0.162,1.944,12,2010,sg_around_green,NA
77,74,Scott Harrington,33,0.16,3.513,22,2010,sg_around_green,NA
78,54,Patton Kizzire,25,0.147,2.65,18,2010,sg_around_green,NA
79,T64,D.J. Trahan,26,0.142,2.692,19,2010,sg_around_green,NA
80,72,Chris Baker,23,0.138,1.66,12,2010,sg_around_green,NA
81,81,K.J. Choi,8,0.135,0.404,3,2010,sg_around_green,NA
82,82,Michael Kim,14,0.13,1.039,8,2010,sg_around_green,NA
83,83,Robert Garrigus,14,0.127,1.146,9,2010,sg_around_green,NA
84,T84,Collin Morikawa,24,0.125,2.001,16,2010,sg_around_green,NA
85,118,Rory Sabbatini,26,0.123,1.353,11,2010,sg_around_green,NA
86,79,David Hearn,32,0.117,2.45,21,2010,sg_around_green,NA
87,104,Chez Reavie,31,0.113,1.474,13,2010,sg_around_green,NA
88,T66,Beau Hossler,27,0.111,1.782,16,2010,sg_around_green,NA
89,71,Denny McCarthy,32,0.108,2.269,21,2010,sg_around_green,NA
90,T84,Adam Long,37,0.105,2.304,22,2010,sg_around_green,NA
91,80,Chesson Hadley,24,0.103,1.745,17,2010,sg_around_green,NA
92,88,Matt Jones,26,0.101,1.718,17,2010,sg_around_green,NA
93,147,Cameron Davis,22,0.099,1.674,17,2010,sg_around_green,NA
94,99,Scott Brown,27,0.097,1.936,20,2010,sg_around_green,NA
95,91,John Oda,8,0.082,0.656,8,2010,sg_around_green,NA
96,90,Bill Haas,19,0.08,1.273,16,2010,sg_around_green,NA
97,92,Gary Woodland,16,0.077,0.613,8,2010,sg_around_green,NA
T98,T93,Derek Ernst,10,0.075,0.372,5,2010,sg_around_green,NA
T98,117,Tyler McCumber,29,0.075,1.576,21,2010,sg_around_green,NA
100,86,Matthew NeSmith,28,0.07,1.479,21,2010,sg_around_green,NA
101,100,Michael Thompson,21,0.068,1.227,18,2010,sg_around_green,NA
T102,102,Russell Knox,30,0.061,1.151,19,2010,sg_around_green,NA
T102,98,Adam Schenk,30,0.061,1.035,17,2010,sg_around_green,NA
104,97,Andrew Novak,6,0.06,0.359,6,2010,sg_around_green,NA
105,111,Mark Hubbard,36,0.048,1.203,25,2010,sg_around_green,NA
106,96,Maverick McNealy,32,0.044,0.93,21,2010,sg_around_green,NA
107,110,Matt Every,18,0.038,0.604,16,2010,sg_around_green,NA
108,103,Joaquin Niemann,28,0.031,0.559,18,2010,sg_around_green,NA
T109,119,Kyle Stanley,23,0.03,0.534,18,2010,sg_around_green,NA
T109,T93,Doug Ghim,19,0.03,0.425,14,2010,sg_around_green,NA
111,T105,Branden Grace,10,0.028,0.113,4,2010,sg_around_green,NA
T112,T108,Dylan Frittelli,32,0.024,0.45,19,2010,sg_around_green,NA
T112,T105,Luke List,27,0.024,0.435,18,2010,sg_around_green,NA
114,125,Russell Henley,25,0.013,0.265,20,2010,sg_around_green,NA
115,114,Adam Hadwin,20,0.012,0.128,11,2010,sg_around_green,NA
116,T115,Arjun Atwal,12,0.01,0.067,7,2010,sg_around_green,NA
117,131,Patrick Rodgers,34,0.006,0.146,25,2010,sg_around_green,NA
118,T120,Rod Pampling,8,-0.005,-0.02,4,2010,sg_around_green,NA
119,122,Chad Campbell,10,-0.007,-0.047,7,2010,sg_around_green,NA
120,T164,Brandon Hagy,19,-0.008,-0.124,16,2010,sg_around_green,NA
121,124,Jamie Lovemark,10,-0.012,-0.123,10,2010,sg_around_green,NA
122,133,Vaughn Taylor,30,-0.016,-0.237,15,2010,sg_around_green,NA
123,T126,Ryan Palmer,20,-0.022,-0.266,12,2010,sg_around_green,NA
124,157,Brian Harman,30,-0.024,-0.549,23,2010,sg_around_green,NA
T125,129,Morgan Hoffmann,10,-0.025,-0.246,10,2010,sg_around_green,NA
T125,130,Scottie Scheffler,32,-0.025,-0.53,21,2010,sg_around_green,NA
127,89,Zach Johnson,23,-0.026,-0.419,16,2010,sg_around_green,NA
T128,T115,Brendon Todd,36,-0.032,-0.802,25,2010,sg_around_green,NA
T128,T136,Tom Hoge,24,-0.032,-0.599,19,2010,sg_around_green,NA
130,T143,"Ted Potter, Jr.",17,-0.042,-0.587,14,2010,sg_around_green,NA
131,112,Nick Taylor,27,-0.045,-0.907,20,2010,sg_around_green,NA
132,T126,Brian Gay,31,-0.051,-1.029,20,2010,sg_around_green,NA
133,135,Whee Kim,6,-0.065,-0.129,2,2010,sg_around_green,NA
T134,138,Kevin Chappell,19,-0.075,-0.904,12,2010,sg_around_green,NA
T134,T140,Davis Riley,8,-0.075,-0.525,7,2010,sg_around_green,NA
136,139,Sebastian Cappelen,28,-0.077,-1.31,17,2010,sg_around_green,NA
137,134,Brendan Steele,28,-0.083,-1.742,21,2010,sg_around_green,NA
138,128,Sepp Straka,26,-0.084,-1.588,19,2010,sg_around_green,NA
139,T143,Marc Leishman,17,-0.087,-0.787,9,2010,sg_around_green,NA
140,146,Matt Kuchar,12,-0.091,-0.637,7,2010,sg_around_green,NA
141,142,Charley Hoffman,22,-0.1,-1.4,14,2010,sg_around_green,NA
142,149,John Merrick,10,-0.107,-0.534,5,2010,sg_around_green,NA
143,159,Harris English,26,-0.119,-2.268,19,2010,sg_around_green,NA
144,150,Mark Anderson,22,-0.122,-2.326,19,2010,sg_around_green,NA
145,151,Ben Taylor,27,-0.127,-2.28,18,2010,sg_around_green,NA
146,T120,Zac Blair,32,-0.129,-2.706,21,2010,sg_around_green,NA
147,153,Chandler Phillips,6,-0.132,-0.794,6,2010,sg_around_green,NA
T148,155,Pat Perez,22,-0.144,-1.438,10,2010,sg_around_green,NA
T148,176,Kevin Streelman,25,-0.144,-1.722,12,2010,sg_around_green,NA
150,T164,Andrew Putnam,24,-0.148,-1.484,10,2010,sg_around_green,NA
151,156,Shawn Stefani,22,-0.154,-1.997,13,2010,sg_around_green,NA
152,148,Joseph Bramlett,23,-0.158,-2.526,16,2010,sg_around_green,NA
153,T108,Cameron Champ,26,-0.159,-3.17,20,2010,sg_around_green,NA
154,158,Boo Weekley,14,-0.161,-1.448,9,2010,sg_around_green,NA
155,160,Bo Hoag,36,-0.167,-4.177,25,2010,sg_around_green,NA
156,179,Jason Dufner,18,-0.169,-2.528,15,2010,sg_around_green,NA
157,T143,Billy Horschel,21,-0.174,-0.348,2,2010,sg_around_green,NA
158,113,Lucas Glover,23,-0.177,-1.596,9,2010,sg_around_green,NA
159,161,Stewart Cink,15,-0.178,-2.14,12,2010,sg_around_green,NA
160,123,Vincent Whaley,18,-0.183,-2.748,15,2010,sg_around_green,NA
161,154,Tyler Duncan,32,-0.185,-3.882,21,2010,sg_around_green,NA
T162,T193,Ben Martin,18,-0.19,-2.093,11,2010,sg_around_green,NA
T162,T136,Kyoung-Hoon Lee,28,-0.19,-2.843,15,2010,sg_around_green,NA
T164,T140,Francesco Molinari,11,-0.193,-0.965,5,2010,sg_around_green,NA
T164,162,Hank Lebioda,28,-0.193,-3.676,19,2010,sg_around_green,NA
T166,167,George McNeill,15,-0.196,-2.35,12,2010,sg_around_green,NA
T166,T168,Martin Laird,23,-0.196,-3.536,18,2010,sg_around_green,NA
T168,188,Chris Stroud,19,-0.199,-2.389,12,2010,sg_around_green,NA
T168,163,Jimmy Walker,11,-0.199,-1.788,9,2010,sg_around_green,NA
170,T168,Sung Kang,24,-0.202,-3.233,16,2010,sg_around_green,NA
171,172,Tom Lewis,6,-0.226,-1.358,6,2010,sg_around_green,NA
172,189,Ben Crane,17,-0.233,-2.801,12,2010,sg_around_green,NA
173,175,Kurt Kitayama,6,-0.235,-0.469,2,2010,sg_around_green,NA
174,T180,James Hahn,19,-0.236,-2.832,12,2010,sg_around_green,NA
175,173,J.J. Spaun,27,-0.239,-4.772,20,2010,sg_around_green,NA
176,202,Bo Van Pelt,17,-0.243,-2.671,11,2010,sg_around_green,NA
177,182,Scott Piercy,30,-0.245,-3.917,16,2010,sg_around_green,NA
178,195,Michael Gligic,26,-0.247,-4.197,17,2010,sg_around_green,NA
179,T177,Corey Conners,26,-0.248,-3.471,14,2010,sg_around_green,NA
180,171,Henrik Norlander,32,-0.249,-5.225,21,2010,sg_around_green,NA
181,170,Martin Trainer,19,-0.253,-4.298,17,2010,sg_around_green,NA
182,T180,Brendon de Jonge,6,-0.261,-1.042,4,2010,sg_around_green,NA
183,184,Jonathan Byrd,14,-0.269,-2.954,11,2010,sg_around_green,NA
184,196,Ryan Brehm,30,-0.282,-5.364,19,2010,sg_around_green,NA
T185,186,Henrik Stenson,6,-0.283,-0.566,2,2010,sg_around_green,NA
T185,T164,Dominic Bozzelli,23,-0.283,-4.523,16,2010,sg_around_green,NA
187,183,Anirban Lahiri,22,-0.286,-4.867,17,2010,sg_around_green,NA
188,187,Johnson Wagner,12,-0.292,-2.623,9,2010,sg_around_green,NA
189,190,C.T. Pan,16,-0.309,-1.236,4,2010,sg_around_green,NA
190,191,J.J. Henry,12,-0.311,-2.802,9,2010,sg_around_green,NA
T191,174,Andrew Landry,22,-0.315,-5.362,17,2010,sg_around_green,NA
T191,185,Robert Streb,29,-0.315,-5.666,18,2010,sg_around_green,NA
193,192,Doc Redman,34,-0.326,-8.159,25,2010,sg_around_green,NA
194,T193,Lucas Bjerregaard,9,-0.328,-2.296,7,2010,sg_around_green,NA
195,132,Jason Kokrak,17,-0.329,-2.305,7,2010,sg_around_green,NA
196,152,Ryan Moore,18,-0.341,-2.726,8,2010,sg_around_green,NA
197,217,Isaiah Salinda,11,-0.353,-3.174,9,2010,sg_around_green,NA
198,198,Chase Seiffert,30,-0.357,-6.791,19,2010,sg_around_green,NA
199,197,Cameron Percy,25,-0.368,-6.63,18,2010,sg_around_green,NA
200,206,Harry Higgs,33,-0.369,-8.122,22,2010,sg_around_green,NA
201,199,Robert Allenby,6,-0.37,-1.48,4,2010,sg_around_green,NA
202,T177,Paul Casey,16,-0.372,-2.233,6,2010,sg_around_green,NA
203,200,Chris Kirk,8,-0.389,-1.168,3,2010,sg_around_green,NA
204,203,Tommy Gainey,10,-0.402,-2.813,7,2010,sg_around_green,NA
205,204,Satoshi Kodaira,20,-0.418,-4.598,11,2010,sg_around_green,NA
206,205,Tim Herron,10,-0.436,-3.054,7,2010,sg_around_green,NA
207,201,Robby Shelton,31,-0.453,-9.961,22,2010,sg_around_green,NA
208,208,Sangmoon Bae,14,-0.468,-4.211,9,2010,sg_around_green,NA
209,209,John Rollins,8,-0.47,-2.821,6,2010,sg_around_green,NA
210,210,Freddie Jacobson,6,-0.479,-2.395,5,2010,sg_around_green,NA
211,215,Nelson Ledesma,25,-0.48,-7.677,16,2010,sg_around_green,NA
212,211,David Lingmerth,12,-0.481,-4.328,9,2010,sg_around_green,NA
213,226,Sam Burns,16,-0.496,-6.937,14,2010,sg_around_green,NA
214,107,Matthew Wolff,20,-0.513,-5.133,10,2010,sg_around_green,NA
215,213,Jhonattan Vegas,18,-0.515,-5.152,10,2010,sg_around_green,NA
216,216,Chip McDaniel,6,-0.53,-1.059,2,2010,sg_around_green,NA
217,212,Vince Covello,19,-0.535,-7.485,14,2010,sg_around_green,NA
218,223,Sungjae Im,32,-0.536,-9.653,18,2010,sg_around_green,NA
219,207,Troy Merritt,24,-0.575,-7.476,13,2010,sg_around_green,NA
220,214,Danny Lee,25,-0.601,-6.605,11,2010,sg_around_green,NA
221,219,Viktor Hovland,14,-0.614,-2.456,4,2010,sg_around_green,NA
222,220,Bubba Watson,14,-0.621,-3.725,6,2010,sg_around_green,NA
223,221,Keith Mitchell,22,-0.636,-6.996,11,2010,sg_around_green,NA
224,218,Michael Gellerman,23,-0.667,-12.008,18,2010,sg_around_green,NA
225,222,Brandon Wu,8,-0.695,-2.781,4,2010,sg_around_green,NA
226,228,John Senden,13,-0.742,-5.191,7,2010,sg_around_green,NA
227,225,Graham DeLaet,14,-0.755,-6.037,8,2010,sg_around_green,NA
228,230,Akshay Bhatia,11,-0.763,-6.107,8,2010,sg_around_green,NA
229,227,Will Gordon,12,-0.794,-5.555,7,2010,sg_around_green,NA
230,229,Mikumu Horikawa,12,-0.81,-3.241,4,2010,sg_around_green,NA
231,224,Max Homa,22,-0.847,-10.161,12,2010,sg_around_green,NA
232,231,Jim Herman,24,-0.927,-17.62,19,2010,sg_around_green,NA
233,232,Smylie Kaufman,6,-1.022,-4.087,4,2010,sg_around_green,NA
234,233,Davis Love III,6,-1.057,-1.057,1,2010,sg_around_green,NA
235,234,Kristoffer Ventura,25,-1.061,-16.969,16,2010,sg_around_green,NA
236,235,Kevin Stadler,13,-1.078,-7.545,7,2010,sg_around_green,NA
237,236,Shugo Imahira,6,-1.323,-2.646,2,2010,sg_around_green,NA
1,1,Daniel Chopra,8,1.449,8.696,6,2011,sg_around_green,NA
2,2,Xander Schauffele,12,0.776,3.105,4,2011,sg_around_green,NA
3,T3,Tony Finau,18,0.719,4.312,6,2011,sg_around_green,NA
4,11,Rob Oppenheim,33,0.704,16.901,24,2011,sg_around_green,NA
5,T3,Adam Scott,16,0.693,5.543,8,2011,sg_around_green,NA
6,10,Alex Noren,16,0.686,6.169,9,2011,sg_around_green,NA
7,6,Peter Uihlein,20,0.645,10.973,17,2011,sg_around_green,NA
8,7,Hideki Matsuyama,22,0.634,6.344,10,2011,sg_around_green,NA
9,9,Keegan Bradley,24,0.603,8.435,14,2011,sg_around_green,NA
T10,T12,Brandt Snedeker,16,0.57,9.122,16,2011,sg_around_green,NA
T10,T12,Parker McLachlin,10,0.57,3.419,6,2011,sg_around_green,NA
12,8,Harold Varner III,27,0.567,7.37,13,2011,sg_around_green,NA
13,14,Aaron Baddeley,19,0.549,6.588,12,2011,sg_around_green,NA
14,17,Kevin Tway,20,0.514,4.113,8,2011,sg_around_green,NA
15,18,Joel Dahmen,28,0.512,7.684,15,2011,sg_around_green,NA
16,T20,Scott Stallings,28,0.494,8.392,17,2011,sg_around_green,NA
T17,31,Abraham Ancer,28,0.484,4.84,10,2011,sg_around_green,NA
T17,T20,Rikuya Hoshino,8,0.484,1.936,4,2011,sg_around_green,NA
19,24,Josh Teater,16,0.477,4.29,9,2011,sg_around_green,NA
20,27,Kramer Hickok,27,0.474,8.529,18,2011,sg_around_green,NA
21,22,Carlos Ortiz,30,0.462,11.091,24,2011,sg_around_green,NA
22,30,Wes Roach,24,0.458,5.958,13,2011,sg_around_green,NA
23,44,Xinjun Zhang,33,0.448,9.858,22,2011,sg_around_green,NA
24,5,Hudson Swafford,13,0.429,2.574,6,2011,sg_around_green,NA
25,15,Ricky Barnes,23,0.428,6.843,16,2011,sg_around_green,NA
26,26,Patrick Reed,14,0.418,2.509,6,2011,sg_around_green,NA
27,28,Graeme McDowell,17,0.414,3.315,8,2011,sg_around_green,NA
28,25,Roger Sloan,21,0.413,5.373,13,2011,sg_around_green,NA
29,76,Grayson Murray,15,0.405,5.264,13,2011,sg_around_green,NA
30,29,Chase Koepka,8,0.402,1.608,4,2011,sg_around_green,NA
31,32,Charles Howell III,33,0.397,5.557,14,2011,sg_around_green,NA
32,55,Byeong Hun An,27,0.396,5.142,13,2011,sg_around_green,NA
33,35,Bryson DeChambeau,10,0.377,3.768,10,2011,sg_around_green,NA
T34,36,Justin Thomas,18,0.376,3.757,10,2011,sg_around_green,NA
T34,37,Wyndham Clark,19,0.376,2.63,7,2011,sg_around_green,NA
36,19,Kevin Kisner,25,0.375,3.752,10,2011,sg_around_green,NA
37,41,Tim Wilkinson,20,0.358,4.654,13,2011,sg_around_green,NA
38,16,Rafael Campos,29,0.357,6.425,18,2011,sg_around_green,NA
39,38,Webb Simpson,12,0.356,3.918,11,2011,sg_around_green,NA
40,39,Luke Donald,8,0.35,1.051,3,2011,sg_around_green,NA
41,40,D.A. Points,8,0.348,1.74,5,2011,sg_around_green,NA
42,43,Brian Stuard,38,0.345,7.933,23,2011,sg_around_green,NA
43,46,Patrick Cantlay,12,0.318,3.818,12,2011,sg_around_green,NA
44,34,Aaron Wise,19,0.317,3.166,10,2011,sg_around_green,NA
45,60,Cameron Tringale,28,0.314,6.604,21,2011,sg_around_green,NA
46,NA,Rickie Fowler,8,0.307,1.844,6,2011,sg_around_green,NA
47,23,J.T. Poston,32,0.298,5.058,17,2011,sg_around_green,NA
48,50,Brice Garnett,25,0.289,5.193,18,2011,sg_around_green,NA
49,51,Si Woo Kim,25,0.279,3.627,13,2011,sg_around_green,NA
50,70,Ryan Armour,27,0.276,4.422,16,2011,sg_around_green,NA
51,52,Lanto Griffin,38,0.274,7.934,29,2011,sg_around_green,NA
52,53,Seamus Power,14,0.271,2.435,9,2011,sg_around_green,NA
53,87,Mackenzie Hughes,21,0.269,4.297,16,2011,sg_around_green,NA
54,63,Rhein Gibson,31,0.259,5.7,22,2011,sg_around_green,NA
55,59,Nate Lashley,24,0.258,4.905,19,2011,sg_around_green,NA
56,47,Nick Watney,22,0.253,4.303,17,2011,sg_around_green,NA
57,45,Fabián Gómez,30,0.248,5.217,21,2011,sg_around_green,NA
T58,56,Roberto Castro,16,0.247,3.208,13,2011,sg_around_green,NA
T58,62,Sam Ryder,32,0.247,5.671,23,2011,sg_around_green,NA
60,57,J.B. Holmes,8,0.244,1.465,6,2011,sg_around_green,NA
61,42,Richy Werenski,13,0.241,2.65,11,2011,sg_around_green,NA
62,49,Bud Cauley,20,0.24,4.322,18,2011,sg_around_green,NA
63,58,Cameron Smith,22,0.239,3.351,14,2011,sg_around_green,NA
64,T68,Peter Malnati,27,0.237,4.733,20,2011,sg_around_green,NA
65,33,Phil Mickelson,17,0.236,1.649,7,2011,sg_around_green,NA
66,61,Alex Cejka,15,0.234,2.335,10,2011,sg_around_green,NA
67,T64,Zack Sucher,17,0.228,2.734,12,2011,sg_around_green,NA
68,101,Austin Cook,23,0.218,3.925,18,2011,sg_around_green,NA
69,78,Sebastián Muñoz,34,0.203,5.874,29,2011,sg_around_green,NA
70,75,John Huh,16,0.202,2.825,14,2011,sg_around_green,NA
71,95,Bronson Burgoon,28,0.201,4.212,21,2011,sg_around_green,NA
72,T68,Talor Gooch,30,0.191,4.387,23,2011,sg_around_green,NA
73,73,Jim Furyk,12,0.19,2.086,11,2011,sg_around_green,NA
74,T66,Daniel Berger,22,0.165,2.633,16,2011,sg_around_green,NA
75,48,Kevin Na,26,0.164,2.622,16,2011,sg_around_green,NA
76,77,Emiliano Grillo,24,0.162,1.944,12,2011,sg_around_green,NA
77,74,Scott Harrington,33,0.16,3.513,22,2011,sg_around_green,NA
78,54,Patton Kizzire,25,0.147,2.65,18,2011,sg_around_green,NA
79,T64,D.J. Trahan,26,0.142,2.692,19,2011,sg_around_green,NA
80,72,Chris Baker,23,0.138,1.66,12,2011,sg_around_green,NA
81,81,K.J. Choi,8,0.135,0.404,3,2011,sg_around_green,NA
82,82,Michael Kim,14,0.13,1.039,8,2011,sg_around_green,NA
83,83,Robert Garrigus,14,0.127,1.146,9,2011,sg_around_green,NA
84,T84,Collin Morikawa,24,0.125,2.001,16,2011,sg_around_green,NA
85,118,Rory Sabbatini,26,0.123,1.353,11,2011,sg_around_green,NA
86,79,David Hearn,32,0.117,2.45,21,2011,sg_around_green,NA
87,104,Chez Reavie,31,0.113,1.474,13,2011,sg_around_green,NA
88,T66,Beau Hossler,27,0.111,1.782,16,2011,sg_around_green,NA
89,71,Denny McCarthy,32,0.108,2.269,21,2011,sg_around_green,NA
90,T84,Adam Long,37,0.105,2.304,22,2011,sg_around_green,NA
91,80,Chesson Hadley,24,0.103,1.745,17,2011,sg_around_green,NA
92,88,Matt Jones,26,0.101,1.718,17,2011,sg_around_green,NA
93,147,Cameron Davis,22,0.099,1.674,17,2011,sg_around_green,NA
94,99,Scott Brown,27,0.097,1.936,20,2011,sg_around_green,NA
95,91,John Oda,8,0.082,0.656,8,2011,sg_around_green,NA
96,90,Bill Haas,19,0.08,1.273,16,2011,sg_around_green,NA
97,92,Gary Woodland,16,0.077,0.613,8,2011,sg_around_green,NA
T98,T93,Derek Ernst,10,0.075,0.372,5,2011,sg_around_green,NA
T98,117,Tyler McCumber,29,0.075,1.576,21,2011,sg_around_green,NA
100,86,Matthew NeSmith,28,0.07,1.479,21,2011,sg_around_green,NA
101,100,Michael Thompson,21,0.068,1.227,18,2011,sg_around_green,NA
T102,102,Russell Knox,30,0.061,1.151,19,2011,sg_around_green,NA
T102,98,Adam Schenk,30,0.061,1.035,17,2011,sg_around_green,NA
104,97,Andrew Novak,6,0.06,0.359,6,2011,sg_around_green,NA
105,111,Mark Hubbard,36,0.048,1.203,25,2011,sg_around_green,NA
106,96,Maverick McNealy,32,0.044,0.93,21,2011,sg_around_green,NA
107,110,Matt Every,18,0.038,0.604,16,2011,sg_around_green,NA
108,103,Joaquin Niemann,28,0.031,0.559,18,2011,sg_around_green,NA
T109,119,Kyle Stanley,23,0.03,0.534,18,2011,sg_around_green,NA
T109,T93,Doug Ghim,19,0.03,0.425,14,2011,sg_around_green,NA
111,T105,Branden Grace,10,0.028,0.113,4,2011,sg_around_green,NA
T112,T108,Dylan Frittelli,32,0.024,0.45,19,2011,sg_around_green,NA
T112,T105,Luke List,27,0.024,0.435,18,2011,sg_around_green,NA
114,125,Russell Henley,25,0.013,0.265,20,2011,sg_around_green,NA
115,114,Adam Hadwin,20,0.012,0.128,11,2011,sg_around_green,NA
116,T115,Arjun Atwal,12,0.01,0.067,7,2011,sg_around_green,NA
117,131,Patrick Rodgers,34,0.006,0.146,25,2011,sg_around_green,NA
118,T120,Rod Pampling,8,-0.005,-0.02,4,2011,sg_around_green,NA
119,122,Chad Campbell,10,-0.007,-0.047,7,2011,sg_around_green,NA
120,T164,Brandon Hagy,19,-0.008,-0.124,16,2011,sg_around_green,NA
121,124,Jamie Lovemark,10,-0.012,-0.123,10,2011,sg_around_green,NA
122,133,Vaughn Taylor,30,-0.016,-0.237,15,2011,sg_around_green,NA
123,T126,Ryan Palmer,20,-0.022,-0.266,12,2011,sg_around_green,NA
124,157,Brian Harman,30,-0.024,-0.549,23,2011,sg_around_green,NA
T125,129,Morgan Hoffmann,10,-0.025,-0.246,10,2011,sg_around_green,NA
T125,130,Scottie Scheffler,32,-0.025,-0.53,21,2011,sg_around_green,NA
127,89,Zach Johnson,23,-0.026,-0.419,16,2011,sg_around_green,NA
T128,T115,Brendon Todd,36,-0.032,-0.802,25,2011,sg_around_green,NA
T128,T136,Tom Hoge,24,-0.032,-0.599,19,2011,sg_around_green,NA
130,T143,"Ted Potter, Jr.",17,-0.042,-0.587,14,2011,sg_around_green,NA
131,112,Nick Taylor,27,-0.045,-0.907,20,2011,sg_around_green,NA
132,T126,Brian Gay,31,-0.051,-1.029,20,2011,sg_around_green,NA
133,135,Whee Kim,6,-0.065,-0.129,2,2011,sg_around_green,NA
T134,138,Kevin Chappell,19,-0.075,-0.904,12,2011,sg_around_green,NA
